shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
afbfa417-e291-4d8c-b786-9bde91c721a0,44.3466214707753,-79.6637677191124,23,4058.86
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3960871932558,-79.7343352278671,107,6102.26
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3905290372498,-79.7013704830234,14,1098.74
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.3953187403273,-79.6616031027796,21,2806.82
e0f4e937-0dcd-420c-8c21-5559d555a388,44.3408402375229,-79.6801833247905,81,11688.66
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.3775044902514,-79.6934719735925,11,480.09
d9134dc3-c009-4854-a90b-ed9ee2c505bf,44.3410775837921,-79.6798335082888,145,14909.01
2540d374-8e20-4296-a37c-9a127daa37bb,44.33917077,-79.67928743,9,384.37
2540d374-8e20-4296-a37c-9a127daa37bb,44.33016375,-79.70874238,44,5271.87
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.3956321781311,-79.7232757116622,169,13446.57
f6f2521e-ca13-4e6f-b79a-a4c1af02136b,44.3487990362843,-79.669914028687,293,24766.08
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3889102850994,-79.6913814243273,29,3454.26
3bfee775-ec07-4248-a65d-99a1b290e29e,44.4147292196306,-79.6655797284558,80,7481.59
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3306371065773,-79.7255476777608,158,12878.23
5447afc0-6b5d-4291-bc1a-e51cf8e418e4,44.3330529863322,-79.6958626418244,24,2038.1
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.4117148340685,-79.7000207278403,95,7263.22
0b207682-7778-4958-a780-fdcbc9e02ba7,44.3812819288717,-79.7248913462028,39,3571.69
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3917325864692,-79.676045380258,297,23084.4
2540d374-8e20-4296-a37c-9a127daa37bb,44.3769033910184,-79.6930328178954,103,16269.5
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3389612373158,-79.68018066267,110,10261.05
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.4150622352646,-79.6731069615738,200,12822.7
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3678672702138,-79.6869561446697,68,6635.46
b02a2607-bef0-41ac-b7d5-5debe45ec83c,44.4120922337856,-79.6731310468575,198,16364.22
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3908297667142,-79.6962286321284,6,659.22
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3854935169393,-79.7215709969283,62,3767.54
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.41435126804,-79.6687264999807,94,7379.81
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.339358305894,-79.7085488576402,186,15048.23
